INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	DISTINCTIVENESS	CONTEXT
0	<SOS>jeg/i<EOS>	0.30	2	59	
1	<SEP>ud	0.28	2	99	ut/ud(0.8) ute/ude(0.1) uten/udn̩(0.0) uti/udi(0.0) below_threshold(0.1)
2	<SOS>ikke/ʂe<EOS>	0.24	1	99	
3	<SOS>det/dær<EOS>	0.19	1	84	
4	<SOS>det/da<EOS>	0.18	10	96	
5	<SOS>helt/hæilt<EOS>	0.18	1	79	
6	<SOS>jeg/ei<EOS>	0.17	1	82	
7	<SEP>gøy	0.16	0	28	gøy/gøy(0.9) below_threshold(0.1)
8	då<SEP>	0.14	16	53	da/då(1.0) det/då(0.0) enda/enndå(0.0) joda/jodå(0.0) joda/jæudå(0.0) bygda/byggdå(0.0) enda/ænndå(0.0) below_threshold(0.0)
9	rs	0.13	4	71	første/førrste(0.0) nynorsk/nynårrsk(0.0) ellers/ellers(0.0) ellers/ellårs(0.0) mars/marrs(0.0) norsk/nårrsk(0.0) stortsett/storsett(0.0) først/førrst(0.0) forstår/fårstår(0.0) verst/værrst(0.0) forstå/fårstå(0.0) ellers/ællers(0.0) forsåvidt/fårrsåvitt(0.0) spørs/spørrs(0.0) største/størrste(0.0) verste/værrste(0.0) kurs/kurrs(0.0) foreksempel/fårrsemmpel(0.0) spørsmål/spørrsmål(0.0) fortsatt/fårrsatt(0.0) forsvinner/fårsvinne(0.0) below_threshold(0.7)
10	do<SEP>	0.13	1	70	du/do(0.9) do/do(0.0) bygda/byggdo(0.0) below_threshold(0.1)
11	dår	0.13	1	85	det/dårr(0.4) dårlig/dårli(0.1) der/dår(0.1) der/dårr(0.1) dårlig/dårle(0.0) dårlig/dårrli(0.0) below_threshold(0.3)
12	<SEP>tro	0.12	1	42	tror/tro(0.5) tror/tror(0.4) trodde/trodde(0.1) below_threshold(0.1)
13	nåkke	0.12	1	71	noe/nåkke(0.6) noen/nåkken(0.3) noen/nåkke(0.1) below_threshold(0.0)
14	<SEP>bur	0.12	1	33	bur/bur(0.8) burde/burrde(0.1) bor/bur(0.1) below_threshold(0.1)
15	<SOS>veit/vett<EOS>	0.12	1	98	
16	<SOS>vi/mi<EOS>	0.12	2	66	
17	åo	0.12	1	72	da/dåo(0.1) folk/fåok(0.1) hun/håo(0.0) gjorde/jåor(0.0) ord/åor(0.0) below_threshold(0.7)
18	ŋg	0.12	2	88	mange/måŋŋge(0.1) mange/maŋŋge(0.1) unger/oŋŋga(0.1) ting/tiŋŋg(0.1) mange/moŋŋge(0.0) gang/gåŋŋg(0.0) ungene/oŋŋgane(0.0) går/jeŋŋg(0.0) går/jeŋŋge(0.0) gang/goŋŋg(0.0) lenger/læŋŋger(0.0) below_threshold(0.6)
19	avel	0.12	1	30	javel/javell(0.5) travelt/travelt(0.1) likevel/ligavell(0.1) below_threshold(0.3)
20	<SEP>ççe	0.12	0	55	ikke/ççe(1.0) below_threshold(0.0)
21	<SOS>det/di<EOS>	0.11	1	54	
22	iʂʂ	0.11	1	63	ikke/iʂʂe(0.9) below_threshold(0.1)
23	<SEP>ʧe	0.10	5	96	ikke/ʧe(0.9) kjekt/ʧekkt(0.0) kommer/ʧeme(0.0) kommer/ʧem(0.0) kjenner/ʧenne(0.0) kjæledyr/ʧeledyr(0.0) kjente/ʧennde(0.0) kjedelig/ʧedeli(0.0) below_threshold(0.0)
24	<SEP>dar	0.10	2	83	der/dar(0.6) det/dar(0.3) der/darr(0.0) deroppe/daroppe(0.0) below_threshold(0.0)
25	<SOS>vi/me<EOS>	0.10	8	57	
26	ren<SEP>	0.10	1	76	garden/garen(0.1) sommeren/sommaren(0.1) vinteren/vinnteren(0.1) våren/våren(0.1) vinteren/vinntåren(0.0) gården/gåren(0.0) faren/faren(0.0) naturen/naturen(0.0) sommeren/såmmåren(0.0) below_threshold(0.5)
27	<SEP>mær	0.10	1	27	mer/mær(0.5) merker/mærrka(0.1) mer/mærr(0.1) merka/mærrka(0.1) merker/mærrke(0.0) merke/mærrke(0.0) below_threshold(0.1)
28	<SOS>er/æ<SEP>det/de<EOS>	0.09	1	24	
29	rrs	0.09	2	78	første/førrste(0.1) nynorsk/nynårrsk(0.1) mars/marrs(0.0) norsk/nårrsk(0.0) først/førrst(0.0) verst/værrst(0.0) forsåvidt/fårrsåvitt(0.0) spørs/spørrs(0.0) største/størrste(0.0) verste/værrste(0.0) kurs/kurrs(0.0) foreksempel/fårrsemmpel(0.0) spørsmål/spørrsmål(0.0) fortsatt/fårrsatt(0.0) below_threshold(0.5)
30	temm	0.09	0	14	stemmer/stemme(0.4) bestemt/bestemmt(0.1) below_threshold(0.5)
