INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	DISTINCTIVENESS	CONTEXT
0	féminisme</w>	0.11	1	30	féminisme(1.0) below_threshold(0.0)
1	—</w>	0.10	3	62	—(1.0) below_threshold(0.0)
2	filles</w>	0.10	2	54	filles(1.0) below_threshold(0.0)
3	t'</w>	0.10	4	53	t'(1.0) below_threshold(0.0)
4	femme</w>	0.10	22	27	femme(1.0) below_threshold(0.0)
5	te</w>	0.09	5	44	te(0.8) below_threshold(0.2)
6	mec</w>	0.09	2	63	mec(1.0) below_threshold(0.0)
7	meu	0.09	1	68	meuf(0.7) meufs(0.2) below_threshold(0.0)
8	salope</w>	0.08	2	53	salope(1.0) below_threshold(0.0)
9	égalité</w>	0.08	3	40	égalité(1.0) below_threshold(0.0)
10	asse</w>	0.08	2	38	connasse(0.8) below_threshold(0.2)
11	pub</w>	0.07	1	39	pub(1.0) below_threshold(0.0)
12	gros</w>	0.07	1	31	gros(1.0) below_threshold(0.0)
13	plainte</w>	0.07	2	34	plainte(1.0) below_threshold(0.0)
14	rue</w>	0.07	2	57	rue(1.0) below_threshold(0.0)
15	faire</w>	0.07	8	34	faire(1.0) below_threshold(0.0)
16	homme</w>	0.07	8	41	homme(1.0) below_threshold(0.0)
17	grand</w>	0.07	1	24	grand(1.0) below_threshold(0.0)
18	f</w>	0.06	2	44	meuf(0.5) below_threshold(0.5)
19	ça</w>	0.06	9	30	ça(1.0) below_threshold(0.0)
20	ta</w>	0.06	2	26	ta(0.9) below_threshold(0.1)
21	tes</w>	0.06	2	45	tes(0.6) below_threshold(0.4)
22	ton</w>	0.06	3	31	ton(1.0) below_threshold(0.0)
23	me</w>	0.06	7	31	me(0.9) below_threshold(0.1)
24	moins</w>	0.06	2	21	moins(1.0) below_threshold(0.0)
25	sexiste</w>	0.06	2	25	sexiste(1.0) below_threshold(0.0)
26	féministe</w>	0.06	3	21	féministe(1.0) below_threshold(0.0)
27	moi</w>	0.06	4	34	moi(1.0) below_threshold(0.0)
28	harcel	0.06	1	44	harceler(0.3) below_threshold(0.7)
29	...</w>	0.05	15	14	...(0.9) below_threshold(0.1)
30	femmes</w>	0.05	12	20	femmes(1.0) below_threshold(0.0)
31	ma</w>	0.05	4	25	ma(1.0) below_threshold(0.0)
32	bien</w>	0.05	6	26	bien(1.0) below_threshold(0.0)
33	toi</w>	0.05	2	37	toi(1.0) below_threshold(0.0)
34	elles</w>	0.05	2	34	elles(0.9) below_threshold(0.1)
35	=</w>	0.05	1	31	=(0.9) below_threshold(0.1)
36	mes</w>	0.05	1	16	mes(0.9) below_threshold(0.1)
37	victime</w>	0.05	1	31	victime(1.0) below_threshold(0.0)
38	?	0.05	7	20	?"(0.1) ???(0.1) ??(0.1) ? -(0.1) ?!(0.1) ? "(0.0) below_threshold(0.5)
39	grosse</w>	0.05	1	37	grosse(1.0) below_threshold(0.0)
40	Femme</w>	0.05	1	15	Femme(1.0) below_threshold(0.0)
41	culture</w>	0.05	1	38	culture(1.0) below_threshold(0.0)
42	sport</w>	0.05	1	5	sport(1.0) below_threshold(0.0)
43	avais</w>	0.05	1	30	avais(1.0) below_threshold(0.0)
44	belle</w>	0.05	1	25	belle(1.0) below_threshold(0.0)
45	<HASHTAG>	0.05	79	5	<HASHTAG>(1.0) below_threshold(0.0)
46	trop</w>	0.05	2	18	trop(1.0) below_threshold(0.0)
47	p</w>	0.05	1	22	
48	plutôt</w>	0.05	1	33	plutôt(1.0) below_threshold(0.0)
49	es</w>	0.05	3	43	es(0.8) below_threshold(0.2)
50	un</w>	0.05	27	17	un(1.0) below_threshold(0.0)
51	ait</w>	0.05	1	39	ait(0.3) below_threshold(0.7)
52	quand</w>	0.05	5	28	quand(1.0) below_threshold(0.0)
53	porc</w>	0.04	2	23	porc(0.9) below_threshold(0.1)
54	accusé</w>	0.04	1	19	accusé(1.0) below_threshold(0.0)
55	?</w>	0.04	16	18	?(0.9) ???(0.0) ??(0.0) below_threshold(0.1)
56	bonne</w>	0.04	1	28	bonne(1.0) below_threshold(0.0)
57	conn	0.04	2	37	connasse(0.7) below_threshold(0.3)
58	quoi</w>	0.04	3	30	quoi(1.0) below_threshold(0.0)
59	encore</w>	0.04	3	20	encore(1.0) below_threshold(0.0)
60	sans</w>	0.04	3	23	sans(1.0) below_threshold(0.0)
61	"</w>	0.04	27	6	"(0.7) : "(0.1) ."(0.0) !"(0.0) . "(0.0) ?"(0.0) ! "(0.0) , "(0.0) ? "(0.0) ... "(0.0) " "(0.0) below_threshold(0.0)
62	serait</w>	0.04	2	29	serait(1.0) below_threshold(0.0)
63	ée</w>	0.04	2	26	
64	..	0.04	3	10	... "(0.1) below_threshold(0.9)
65	Non</w>	0.04	1	24	Non(1.0) below_threshold(0.0)
66	as</w>	0.04	3	38	as(0.9) below_threshold(0.1)
67	genre</w>	0.04	3	52	genre(1.0) below_threshold(0.0)
68	vrai</w>	0.04	2	36	vrai(1.0) below_threshold(0.0)
69	Tout</w>	0.04	1	14	Tout(1.0) below_threshold(0.0)
70	que</w>	0.04	24	19	que(1.0) below_threshold(0.0)
71	ces</w>	0.04	3	21	ces(0.9) below_threshold(0.1)
72	tu</w>	0.04	5	36	tu(1.0) below_threshold(0.0)
73	Quand</w>	0.04	2	14	Quand(1.0) below_threshold(0.0)
74	Dans</w>	0.04	1	12	Dans(1.0) below_threshold(0.0)
75	déjà</w>	0.04	2	32	déjà(1.0) below_threshold(0.0)
76	Et</w>	0.04	4	20	Et(1.0) below_threshold(0.0)
77	Vous</w>	0.04	2	28	Vous(1.0) below_threshold(0.0)
78	c</w>	0.04	2	20	c(0.7) below_threshold(0.3)
79	elle</w>	0.04	8	13	elle(1.0) below_threshold(0.0)
80	toutes</w>	0.04	2	20	toutes(1.0) below_threshold(0.0)
81	H	0.04	1	5	<HASHTAG><HASHTAG><HASHTAG>(0.2) below_threshold(0.8)
82	pouvoir</w>	0.04	1	26	pouvoir(1.0) below_threshold(0.0)
83	m'</w>	0.04	3	22	m'(1.0) below_threshold(0.0)
84	lieu</w>	0.04	1	22	lieu(1.0) below_threshold(0.0)
85	pas</w>	0.04	25	21	pas(1.0) below_threshold(0.0)
86	font</w>	0.03	1	22	font(1.0) below_threshold(0.0)
87	qu'</w>	0.03	15	29	qu'(1.0) below_threshold(0.0)
88	aussi</w>	0.03	5	25	aussi(1.0) below_threshold(0.0)
89	hommes</w>	0.03	6	26	hommes(1.0) below_threshold(0.0)
90	vos</w>	0.03	1	20	vos(1.0) below_threshold(0.0)
91	jour</w>	0.03	1	8	jour(1.0) below_threshold(0.0)
92	sa</w>	0.03	6	8	sa(1.0) below_threshold(0.0)
93	veux</w>	0.03	1	44	veux(1.0) below_threshold(0.0)
94	leur</w>	0.03	3	13	leur(1.0) below_threshold(0.0)
95	De</w>	0.03	1	20	De(1.0) below_threshold(0.0)
96	chose</w>	0.03	1	38	chose(1.0) below_threshold(0.0)
97	rien</w>	0.03	3	28	rien(1.0) below_threshold(0.0)
98	il</w>	0.03	13	19	il(1.0) below_threshold(0.0)
99	Il</w>	0.03	5	15	Il(1.0) below_threshold(0.0)
100	c'</w>	0.03	15	25	c'(1.0) below_threshold(0.0)
101	été</w>	0.03	3	14	été(1.0) below_threshold(0.0)
102	d</w>	0.03	2	14	d(0.5) qd(0.2) below_threshold(0.3)
103	où</w>	0.03	2	15	où(1.0) below_threshold(0.0)
104	je</w>	0.03	11	19	je(1.0) below_threshold(0.0)
105	..</w>	0.03	2	12	..(0.9) below_threshold(0.1)
106	va</w>	0.03	4	17	va(1.0) below_threshold(0.0)
107	doit</w>	0.03	2	25	doit(1.0) below_threshold(0.0)
108	peut</w>	0.03	4	32	peut(1.0) below_threshold(0.0)
109	!</w>	0.03	16	5	!(0.8) !!(0.0) !!!(0.0) ?!(0.0) !!!!(0.0) below_threshold(0.1)
110	propos</w>	0.03	1	3	propos(1.0) below_threshold(0.0)
111	er</w>	0.03	2	9	harceler(0.2) below_threshold(0.8)
112	sexuelle</w>	0.03	1	11	sexuelle(1.0) below_threshold(0.0)
113	chez</w>	0.03	1	15	chez(0.9) below_threshold(0.1)
114	aurait</w>	0.03	2	32	aurait(1.0) below_threshold(0.0)
115	%</w>	0.03	1	1	%(1.0) below_threshold(0.0)
116	lui</w>	0.03	3	20	lui(1.0) below_threshold(0.0)
117	isme</w>	0.03	1	3	Sexisme(0.5) below_threshold(0.5)
118	votre</w>	0.03	2	12	votre(1.0) below_threshold(0.0)
119	p	0.03	1	14	
120	Alors</w>	0.03	1	35	Alors(1.0) below_threshold(0.0)
121	droit</w>	0.03	2	24	droit(1.0) below_threshold(0.0)
122	eux</w>	0.03	1	29	eux(0.6) below_threshold(0.4)
123	T	0.03	1	7	
124	enfants</w>	0.03	1	28	enfants(1.0) below_threshold(0.0)
125	dire</w>	0.03	3	25	dire(1.0) below_threshold(0.0)
126	société</w>	0.03	1	20	société(1.0) below_threshold(0.0)
127	pendant</w>	0.03	1	26	pendant(1.0) below_threshold(0.0)
128	harcèlement</w>	0.03	3	11	harcèlement(1.0) below_threshold(0.0)
129	m</w>	0.03	1	8	
130	suis</w>	0.03	4	11	suis(1.0) below_threshold(0.0)
131	&</w>	0.03	1	10	&(1.0) below_threshold(0.0)
132	"	0.03	10	4	".(0.2) ",(0.2) " :(0.1) " -(0.1) " ((0.0) " "(0.0) below_threshold(0.4)
133	ses</w>	0.03	3	10	ses(1.0) below_threshold(0.0)
134	i</w>	0.03	1	3	
135	est</w>	0.03	35	14	est(1.0) below_threshold(0.0)
136	Mais</w>	0.03	3	23	Mais(1.0) below_threshold(0.0)
137	si</w>	0.03	5	28	si(1.0) below_threshold(0.0)
138	une</w>	0.03	28	15	une(1.0) below_threshold(0.0)
139	l</w>	0.02	1	7	l(0.8) below_threshold(0.2)
