INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	SPECIFICITY	CONTEXT
0	<SOS>da/ra<EOS>	0.27	2	97	
1	<SEP>tte	0.24	1	98	ikke/tte(1.0) below_threshold(0.0)
2	<SOS>ikke/itte<EOS>	0.24	6	96	
3	çi<SEP>	0.22	1	73	ikke/çi(0.6) ikke/iççi(0.2) mye/myçi(0.1) mye/myççi(0.1) below_threshold(0.1)
4	sø<SEP>	0.20	1	96	så/sø(0.9) below_threshold(0.1)
5	<SEP>upp	0.20	1	97	opp/upp(0.4) oppi/uppi(0.2) oppå/uppå(0.1) oppe/uppe(0.0) oppover/uppåver(0.0) oppatt/uppatt(0.0) below_threshold(0.1)
6	<SOS>jeg/je<EOS>	0.19	7	89	
7	<SOS>jeg/jæ<EOS>	0.17	12	98	
8	<SOS>var/var<EOS>	0.16	8	85	
9	<SOS>er/ær<EOS>	0.15	10	98	
10	<SEP>jæi	0.15	2	93	jeg/jæi(1.0) below_threshold(0.0)
11	øɽɽ	0.15	1	77	folk/føɽɽk(0.2) mjølk/mjøɽɽk(0.1) hjelpe/jøɽɽpe(0.1) hjelp/jøɽɽp(0.0) sjølve/ʂøɽɽve(0.0) følge/føɽɽje(0.0) vel/vøɽɽ(0.0) sjøl/ʂøɽɽve(0.0) golvet/gøɽɽve(0.0) below_threshold(0.5)
12	<SOS>er/æ<EOS>	0.13	17	72	
13	ræ<SEP>	0.13	1	72	det/ræ(0.9) deg/ræ(0.1) below_threshold(0.0)
14	<SOS>att/att<EOS>	0.12	1	65	
15	<SEP>re	0.12	10	62	det/re(0.9) de/remm(0.0) rett/rett(0.0) regel/regel(0.0) deg/re(0.0) den/renn(0.0) rettogslett/rettåʂlett(0.0) redd/redd(0.0) dem/remm(0.0) resten/resstn̩(0.0) reise/reise(0.0) riktig/rekkti(0.0) reiste/resste(0.0) rette/rette(0.0) dere/re(0.0) reise/rese(0.0) de/re(0.0) regne/reŋŋne(0.0) below_threshold(0.1)
16	<SEP>bɽe	0.11	1	88	ble/bɽe(0.8) blei/bɽei(0.1) ble/bɽei(0.0) below_threshold(0.0)
17	jæ<SEP>	0.11	12	96	jeg/jæ(1.0) gjør/jæ(0.0) below_threshold(0.0)
18	<SOS>ved/ve<EOS>	0.11	1	55	
19	<SEP>ræi	0.10	1	41	de/ræi(0.4) reise/ræise(0.1) dem/ræi(0.1) reiste/ræiste(0.0) reiser/ræiser(0.0) rein/ræin(0.0) reiser/ræise(0.0) reiste/ræisste(0.0) reist/ræist(0.0) below_threshold(0.2)
20	nok	0.10	1	65	noe/nokko(0.4) noe/noko(0.2) noen/nokkon(0.1) nok/nokk(0.1) noen/nokon(0.1) noen/nokko(0.0) noen/noko(0.0) below_threshold(0.1)
21	<SOS>det/re<EOS>	0.10	7	95	
22	<SEP>tie	0.10	0	48	tida/tie(0.7) tiende/tiene(0.1) tider/tier(0.1) below_threshold(0.2)
23	<SEP>up	0.10	1	95	oppi/uppi(0.3) opp/upp(0.3) oppå/uppå(0.1) oppe/uppe(0.0) oppover/uppåver(0.0) oppatt/uppatt(0.0) below_threshold(0.2)
24	<SEP>er	0.10	1	79	er/er(1.0) below_threshold(0.0)
25	<SOS>hva/va<EOS>	0.09	1	79	
