INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	SPECIFICITY	CONTEXT
0	bleues</w>	0.06	2	98	bleues(1.0) below_threshold(0.0)
1	fille</w>	0.05	3	64	fille(1.0) below_threshold(0.0)
2	aime</w>	0.05	1	72	aime(1.0) below_threshold(0.0)
3	Ségolène</w>	0.05	3	96	Ségolène(1.0) below_threshold(0.0)
4	Christiane</w>	0.05	3	92	Christiane(1.0) below_threshold(0.0)
5	racisme</w>	0.05	1	86	racisme(1.0) below_threshold(0.0)
6	article</w>	0.04	1	81	article(1.0) below_threshold(0.0)
7	Royal</w>	0.04	3	95	Royal(1.0) below_threshold(0.0)
8	lire</w>	0.04	1	88	lire(1.0) below_threshold(0.0)
9	an</w>	0.03	1	85	an(0.6) below_threshold(0.4)
10	Une</w>	0.03	3	70	Une(1.0) below_threshold(0.0)
11	Angela</w>	0.03	6	95	Angela(1.0) below_threshold(0.0)
12	Merci</w>	0.03	2	79	Merci(1.0) below_threshold(0.0)
13	Theresa</w>	0.03	3	97	Theresa(1.0) below_threshold(0.0)
14	Christine</w>	0.03	2	92	Christine(1.0) below_threshold(0.0)
15	The</w>	0.03	1	96	The(1.0) below_threshold(0.0)
16	année</w>	0.03	2	88	année(1.0) below_threshold(0.0)
17	match</w>	0.03	3	99	match(1.0) below_threshold(0.0)
18	vidéo</w>	0.03	1	86	vidéo(1.0) below_threshold(0.0)
19	conne</w>	0.03	1	67	conne(1.0) below_threshold(0.0)
20	Taubira</w>	0.03	3	91	Taubira(1.0) below_threshold(0.0)
21	prison</w>	0.03	1	73	prison(1.0) below_threshold(0.0)
22	courage</w>	0.03	1	90	courage(1.0) below_threshold(0.0)
23	politique</w>	0.03	2	77	politique(1.0) below_threshold(0.0)
24	mouvement</w>	0.03	3	80	mouvement(1.0) below_threshold(0.0)
25	travail</w>	0.03	3	77	travail(1.0) below_threshold(0.0)
26	aujourd'</w>	0.03	1	83	aujourd'(1.0) below_threshold(0.0)
27	sexisme</w>	0.03	6	78	sexisme(1.0) below_threshold(0.0)
28	plein</w>	0.03	1	70	plein(1.0) below_threshold(0.0)
29	ici</w>	0.03	1	78	ici(1.0) below_threshold(0.0)
30	Travail</w>	0.03	1	99	Travail(1.0) below_threshold(0.0)
31	Lagarde</w>	0.02	1	92	Lagarde(1.0) below_threshold(0.0)
32	enceinte</w>	0.02	3	74	enceinte(1.0) below_threshold(0.0)
33	️</w>	0.02	2	78	➡️(0.2) ▶️(0.1) ❤️(0.1) below_threshold(0.7)
34	collectif</w>	0.02	2	98	collectif(1.0) below_threshold(0.0)
35	beau</w>	0.02	1	68	beau(1.0) below_threshold(0.0)
36	d	0.02	1	68	
37	sujet</w>	0.02	1	76	sujet(1.0) below_threshold(0.0)
38	personnes</w>	0.02	1	70	personnes(1.0) below_threshold(0.0)
39	ni</w>	0.02	1	66	ni(0.9) below_threshold(0.1)
40	May</w>	0.02	3	96	May(1.0) below_threshold(0.0)
41	Bravo</w>	0.02	1	78	Bravo(1.0) below_threshold(0.0)
42	,	0.02	1	75	, "(0.5) ", "(0.2) below_threshold(0.3)
43	tribune</w>	0.02	1	83	tribune(1.0) below_threshold(0.0)
44	ter</w>	0.02	0	70	
45	avec</w>	0.02	9	69	avec(1.0) below_threshold(0.0)
46	hashtag</w>	0.02	1	69	hashtag(1.0) below_threshold(0.0)
47	Den	0.02	3	82	Deneuve(1.0) below_threshold(0.0)
48	maintenant</w>	0.02	1	68	maintenant(1.0) below_threshold(0.0)
49	presse</w>	0.02	1	82	presse(1.0) below_threshold(0.0)
50	Merkel</w>	0.02	6	95	Merkel(1.0) below_threshold(0.0)
51	silence</w>	0.02	1	88	silence(1.0) below_threshold(0.0)
52	|</w>	0.02	7	87	|(0.9) ? |(0.0) " |(0.0) below_threshold(0.0)
53	face</w>	0.02	1	82	face(1.0) below_threshold(0.0)
54	Après</w>	0.02	2	76	Après(1.0) below_threshold(0.0)
55	notre</w>	0.02	2	82	notre(1.0) below_threshold(0.0)
56	créatrice</w>	0.02	1	94	créatrice(1.0) below_threshold(0.0)
57	lutte</w>	0.02	1	76	lutte(1.0) below_threshold(0.0)
58	r</w>	0.02	1	67	
59	diffamation</w>	0.02	2	93	diffamation(1.0) below_threshold(0.0)
60	campagne</w>	0.02	1	80	campagne(1.0) below_threshold(0.0)
61	ceux</w>	0.02	1	69	ceux(1.0) below_threshold(0.0)
62	libération</w>	0.02	1	91	libération(1.0) below_threshold(0.0)
63	mois</w>	0.02	1	69	mois(0.9) below_threshold(0.1)
64	>	0.02	1	83	>>(0.5) <HASHTAG>'(0.1) below_threshold(0.4)
65	Sandra</w>	0.02	1	96	Sandra(1.0) below_threshold(0.0)
66	el	0.02	1	84	Penelope(0.3) Finkielkraut(0.2) below_threshold(0.5)
67	sur</w>	0.02	15	68	sur(1.0) below_threshold(0.0)
68	eues</w>	0.02	2	99	Bleues(1.0) below_threshold(0.0)
69	soit</w>	0.02	1	54	soit(1.0) below_threshold(0.0)
70	euve</w>	0.02	3	82	Deneuve(1.0) below_threshold(0.0)
71	We	0.02	1	76	Weinstein(0.9) below_threshold(0.1)
72	Facebook</w>	0.02	1	80	Facebook(1.0) below_threshold(0.0)
73	coup</w>	0.02	1	67	coup(1.0) below_threshold(0.0)
74	Muller</w>	0.01	1	96	Muller(1.0) below_threshold(0.0)
75	:</w>	0.01	23	78	:(0.9) " :(0.1) ":(0.0) ):(0.0) ) :(0.0) below_threshold(0.0)
76	janvier</w>	0.01	1	99	janvier(1.0) below_threshold(0.0)
77	instein</w>	0.01	1	76	Weinstein(1.0) below_threshold(0.0)
78	nous</w>	0.01	4	69	nous(1.0) below_threshold(0.0)
79	Macron</w>	0.01	3	92	Macron(1.0) below_threshold(0.0)
80	j	0.01	1	63	jsuis(0.2) below_threshold(0.8)
81	poursuivie</w>	0.01	1	97	poursuivie(1.0) below_threshold(0.0)
82	–</w>	0.01	2	81	–(0.8) below_threshold(0.2)
83	Paris</w>	0.01	1	67	Paris(1.0) below_threshold(0.0)
84	;</w>	0.01	1	67	;(1.0) below_threshold(0.0)
85	plus</w>	0.01	6	63	plus(1.0) below_threshold(0.0)
86	contre</w>	0.01	6	74	contre(1.0) below_threshold(0.0)
87	Elle</w>	0.01	1	66	Elle(1.0) below_threshold(0.0)
88	L	0.01	1	70	LREM(0.2) below_threshold(0.8)
89	pour</w>	0.01	20	67	pour(1.0) below_threshold(0.0)
90	k	0.01	0	58	Finkielkraut(0.3) below_threshold(0.7)
91	merci</w>	0.01	1	69	merci(1.0) below_threshold(0.0)
92	J	0.01	2	82	JDM(0.3) Joignez(0.2) JDQ(0.1) below_threshold(0.4)
93	P	0.01	1	68	
94	nationale</w>	0.01	1	95	nationale(1.0) below_threshold(0.0)
95	1</w>	0.01	1	71	1(0.9) below_threshold(0.1)
96	tout</w>	0.01	3	62	tout(1.0) below_threshold(0.0)
97	[</w>	0.01	1	77	[(0.9) below_threshold(0.1)
98	Les</w>	0.01	6	67	Les(1.0) below_threshold(0.0)
99	anti</w>	0.01	1	69	anti(1.0) below_threshold(0.0)
100	monde</w>	0.01	3	70	monde(1.0) below_threshold(0.0)
101	via</w>	0.01	6	85	via(1.0) below_threshold(0.0)
102	<USERNAME>	0.01	38	69	<USERNAME>(1.0) below_threshold(0.0)
103	À</w>	0.01	1	72	À(1.0) below_threshold(0.0)
104	pays</w>	0.01	1	76	pays(1.0) below_threshold(0.0)
105	entre</w>	0.01	2	70	entre(1.0) below_threshold(0.0)
106	soir</w>	0.01	1	75	soir(1.0) below_threshold(0.0)
107	mieux</w>	0.01	1	70	mieux(1.0) below_threshold(0.0)
108	]</w>	0.01	1	76	](0.9) below_threshold(0.1)
109	+</w>	0.01	1	72	+(0.9) below_threshold(0.1)
110	B	0.01	1	81	
111	première</w>	0.01	1	88	première(1.0) below_threshold(0.0)
112	></w>	0.01	2	83	>(0.4) >>(0.4) below_threshold(0.2)
113	e</w>	0.01	1	68	e(0.6) Paye(0.2) below_threshold(0.2)
114	hui</w>	0.01	2	78	hui(1.0) below_threshold(0.0)
115	Pourquoi</w>	0.01	1	59	Pourquoi(1.0) below_threshold(0.0)
116	Bl	0.01	2	96	Bleues(1.0) below_threshold(0.0)
117	défense</w>	0.01	1	81	défense(0.9) below_threshold(0.1)
118	🇫	0.01	1	97	🇫🇷(0.2) below_threshold(0.8)
119	La</w>	0.01	9	74	La(1.0) below_threshold(0.0)
120	cause</w>	0.01	1	65	cause(1.0) below_threshold(0.0)
121	parole</w>	0.01	2	77	parole(1.0) below_threshold(0.0)
122	deux</w>	0.01	1	69	deux(1.0) below_threshold(0.0)
123	Oui</w>	0.01	1	63	Oui(1.0) below_threshold(0.0)
124	h	0.01	1	64	
125	Allemagne</w>	0.01	1	96	Allemagne(1.0) below_threshold(0.0)
126	Radio</w>	0.01	1	83	Radio(1.0) below_threshold(0.0)
127	question</w>	0.01	1	63	question(1.0) below_threshold(0.0)
128	Catherine</w>	0.01	3	80	Catherine(1.0) below_threshold(0.0)
129	Ça</w>	0.01	1	54	Ça(1.0) below_threshold(0.0)
130	S	0.01	1	78	Sputnik(0.2) below_threshold(0.8)
131	soutien</w>	0.01	1	74	soutien(1.0) below_threshold(0.0)
132	dr	0.01	1	65	drague(0.4) below_threshold(0.6)
133	porte</w>	0.01	1	60	porte(1.0) below_threshold(0.0)
134	sexuelles</w>	0.01	2	74	sexuelles(1.0) below_threshold(0.0)
135	préfère</w>	0.01	0	56	préfère(1.0) below_threshold(0.0)
136	public</w>	0.01	1	68	public(1.0) below_threshold(0.0)
137	premier</w>	0.01	1	75	premier(1.0) below_threshold(0.0)
138	fin</w>	0.01	1	79	fin(1.0) below_threshold(0.0)
139	Nous</w>	0.01	1	73	Nous(1.0) below_threshold(0.0)
140	o</w>	0.01	1	68	
141	ministre</w>	0.01	1	79	ministre(1.0) below_threshold(0.0)
142	vraiment</w>	0.01	1	58	vraiment(1.0) below_threshold(0.0)
143	t</w>	0.00	2	67	t(0.5) below_threshold(0.5)
144	-</w>	0.00	26	73	-(0.9) " -(0.0) ? -(0.0) ... -(0.0) ! -(0.0) ) -(0.0) below_threshold(0.0)
145	E	0.00	1	74	
146	avenir</w>	0.00	1	95	avenir(1.0) below_threshold(0.0)
147	Emmanuel</w>	0.00	2	98	Emmanuel(1.0) below_threshold(0.0)
148	tête</w>	0.00	1	66	tête(1.0) below_threshold(0.0)
149	journée</w>	0.00	2	84	journée(1.0) below_threshold(0.0)
150	r	0.00	1	75	Finkielkraut(0.2) rts(0.2) below_threshold(0.6)
151	après</w>	0.00	3	72	après(1.0) below_threshold(0.0)
152	s	0.00	1	60	
153	Devoir</w>	0.00	1	87	Devoir(1.0) below_threshold(0.0)
154	et</w>	0.00	31	66	et(1.0) below_threshold(0.0)
