INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	DISTINCTIVENESS	CONTEXT
0	hi<SEP>	0.23	1	84	har/hi(1.0) below_threshold(0.0)
1	ʂø<SEP>	0.21	2	80	sjø/ʂø(1.0) below_threshold(0.0)
2	<SEP>æmm	0.16	2	74	de/æmm(0.9) dem/æmm(0.1) below_threshold(0.0)
3	<SOS>ikke/itt<EOS>	0.16	14	89	
4	<SOS>gjør/jær<EOS>	0.12	1	35	
5	<SEP>ʂer	0.12	1	34	ser/ʂer(0.9) skjer/ʂer(0.1) below_threshold(0.0)
6	<SEP>itt	0.12	15	42	ikke/itt(1.0) ikke/itte(0.0) etter/itte(0.0) below_threshold(0.0)
7	<SOS>det/e<EOS>	0.12	3	39	
8	<SOS>òg/å<EOS>	0.11	4	34	
9	<SOS>var/va<SEP>nå/nå<EOS>	0.10	2	41	
10	<SOS>vi/åss<EOS>	0.10	2	43	
11	<SEP>vårr	0.09	2	60	være/vårrå(0.5) vært/vårre(0.2) blitt/vårrte(0.1) være/vårr(0.1) below_threshold(0.1)
12	rrå	0.09	2	56	være/vårrå(0.7) fare/fårrå(0.1) gjøre/jørrå(0.1) morgenen/mårrån(0.0) below_threshold(0.1)
13	<SOS>vet/vet<SEP>du/du<EOS>	0.09	3	34	
14	maŋŋ<SEP>	0.09	1	49	mange/maŋŋ(1.0) below_threshold(0.0)
15	<SOS>noe/nå<EOS>	0.08	5	42	
16	myt	0.08	1	34	mye/mytti(0.7) mye/mytte(0.1) mye/mytʧi(0.1) mye/mytʧe(0.1) below_threshold(0.0)
17	<SEP>myt	0.08	1	34	mye/mytti(0.7) mye/mytte(0.1) mye/mytʧi(0.1) mye/mytʧe(0.1) below_threshold(0.0)
18	<SEP>tt	0.08	0	4	ikke/tt(1.0) below_threshold(0.0)
19	vårr	0.08	2	59	være/vårrå(0.5) vært/vårre(0.2) blitt/vårrte(0.1) være/vårr(0.1) below_threshold(0.1)
20	ʂk	0.07	2	16	skulle/ʂkull(0.1) skal/ʂka(0.1) norsk/nåʂʂk(0.0) below_threshold(0.8)
21	eir<SEP>	0.07	1	28	mer/meir(0.8) flere/fɽeir(0.2) below_threshold(0.0)
22	øgg	0.07	1	34	bygda/bøggda(0.2) bygd/bøggd(0.1) bygda/bøggdn̩(0.1) below_threshold(0.6)
23	litte	0.07	1	25	litegrann/litterann(0.4) litt/litte(0.3) litegrann/littegrann(0.1) below_threshold(0.2)
24	komm<SEP>	0.07	2	55	kom/komm(1.0) below_threshold(0.0)
25	oll	0.07	1	22	skulle/skoll(0.4) fullt/follt(0.1) below_threshold(0.5)
26	<SEP>veɽ	0.06	1	71	vel/veɽ(1.0) below_threshold(0.0)
27	øɽ	0.06	3	25	sjøl/ʂøɽ(0.4) kjøle/çøɽe(0.2) vel/vøɽ(0.1) kjølig/çøɽe(0.0) hjelpe/jøɽɽp(0.0) below_threshold(0.3)
28	<SOS>kom/komm<EOS>	0.06	2	56	
29	åt<SEP>	0.06	2	21	åt/åt(0.8) båt/båt(0.1) attåt/attåt(0.0) below_threshold(0.1)
30	<SEP>væɽ	0.06	2	54	vel/væɽ(1.0) velge/væɽ(0.0) below_threshold(0.0)
31	lite<SEP>	0.06	1	9	litt/lite(0.6) lite/lite(0.4) below_threshold(0.0)
32	<SOS>hadde/ha<EOS>	0.06	3	30	
33	<SOS>deg/dæ<EOS>	0.06	1	12	
34	my<SEP>	0.06	2	57	mye/my(1.0) below_threshold(0.0)
35	<SOS>meg/mæ<EOS>	0.06	2	11	
36	<SOS>du/u<EOS>	0.06	1	22	
37	<SOS>ble/varrt<EOS>	0.06	3	26	
38	eɽ<SEP>	0.06	2	62	vel/veɽ(0.6) gammel/gammeɽ(0.2) below_threshold(0.2)
39	kull<SEP>	0.06	1	56	skulle/skull(0.8) skulle/ʂkull(0.1) below_threshold(0.0)
40	rra<SEP>	0.05	2	24	være/værra(0.2) gjøre/jørra(0.2) være/varra(0.1) gjøre/jærra(0.1) fare/færra(0.1) være/verra(0.0) imorgen/imårra(0.0) below_threshold(0.2)
41	æɽ<SEP>	0.05	2	48	vel/væɽ(0.7) forskjell/fåʂʂæɽ(0.0) forskjell/fåʂæɽ(0.0) below_threshold(0.2)
42	<SEP>anna	0.05	1	16	annet/anna(0.3) anna/anna(0.2) andre/anna(0.2) annen/anna(0.1) annen/annan(0.1) below_threshold(0.1)
43	minn<SEP>	0.05	1	10	men/minn(0.6) min/minn(0.4) below_threshold(0.0)
44	in<SEP>	0.05	5	3	fin/fin(0.1) min/min(0.1) en/ein(0.1) skolen/skuɽin(0.0) sin/sin(0.0) mener/mein(0.0) mine/min(0.0) en/æin(0.0) inn/in(0.0) din/din(0.0) tida/tiin(0.0) tida/tin(0.0) veien/vein(0.0) below_threshold(0.5)
