INDEX	FEATURE	IMPORTANCE	REPRESENTATIVENESS	SPECIFICITY	CONTEXT
0	<SOS>man/mann<EOS>	0.22	3	90	
1	<SEP>nu	0.18	4	94	nå/nu(0.9) nu/nu(0.0) null/null(0.0) noen/nu(0.0) noe/nu(0.0) below_threshold(0.0)
2	<SEP>sir	0.18	1	51	sier/sir(0.9) cirka/sirrka(0.1) below_threshold(0.0)
3	<SEP>dn̩	0.17	0	81	den/dn̩(0.8) den/dn̩n(0.2) below_threshold(0.0)
4	nu<SEP>	0.15	4	96	nå/nu(0.9) nu/nu(0.0) ennå/ennu(0.0) below_threshold(0.0)
5	æran	0.14	1	75	derre/dæran(0.2) her/hæran(0.1) hverandre/væranndre(0.1) der/dærane(0.1) her/hærane(0.1) derre/dærane(0.1) hverandre/kværanndre(0.0) derre/ærane(0.0) herre/hæran(0.0) below_threshold(0.2)
6	ådd<SEP>	0.12	1	87	gått/gådd(0.4) fått/fådd(0.4) slått/ʂlådd(0.0) stått/stådd(0.0) below_threshold(0.1)
7	<SOS>ja/ja<SEP>da/da<EOS>	0.11	2	37	
8	vess	0.11	1	67	hvis/vess(0.6) hvis/vesst(0.2) visste/vesst(0.1) javisst/javesst(0.1) visste/vesste(0.0) visst/vesst(0.0) below_threshold(0.0)
9	<SOS>nei/næi<SEP>da/da<EOS>	0.11	1	39	
10	<SEP>nja	0.11	0	37	nja/nja(1.0) below_threshold(0.0)
11	ami	0.11	1	61	samisk/samisk(0.5) familie/familie(0.1) familien/familien(0.1) samiske/samiske(0.1) samisken/samisken(0.0) below_threshold(0.2)
12	hæ<SEP>	0.11	1	52	her/hæ(0.8) hæ/hæ(0.2) below_threshold(0.0)
13	<SEP>ila	0.10	1	60	ilag/ila(0.6) ilag/ilag(0.4) below_threshold(0.0)
14	yv	0.10	1	61	tjue/tyve(0.4) syv/syv(0.3) tjuende/tyvene(0.0) tjuende/tyvende(0.0) below_threshold(0.2)
15	ny<SEP>	0.10	0	43	ny/ny(0.7) snø/sny(0.3) below_threshold(0.0)
16	<SOS>også/åsså<EOS>	0.10	2	77	
17	<SOS>hun/o<EOS>	0.09	1	49	
18	<SOS>det/de<SEP>der/dær<EOS>	0.09	1	64	
19	<SOS>jo/ju<EOS>	0.09	2	83	
20	<SOS>til/ti<EOS>	0.09	2	45	
21	fessk	0.09	1	71	fisk/fessk(0.2) fiske/fesske(0.2) fiska/fesska(0.1) fiske/fessk(0.0) fisken/fessken(0.0) fisker/fesskar(0.0) fiskebruk/fesskebruk(0.0) fisker/fesska(0.0) below_threshold(0.3)
22	<SOS>der/dæ<EOS>	0.09	1	65	
23	<SOS>noe/nåkka<EOS>	0.09	2	89	
